county,year,total_population,children_under_5,working_age,elderly_65plus,sex_ratio,dependency_ratio,child_dependency_ratio,elderly_dependency_ratio,pct_children,pct_elderly
Kirinyaga,2023,935287.5616455078,87236.3251953125,631901.896484375,47006.18762207031,98.33237972532432,21.24420160221852,13.805358977502229,7.438842624716292,9.32721964588435,5.025854031392173
Kisii,2023,1315724.603302002,150810.52734375,756976.478515625,45297.91775512695,92.07715137697038,25.90680829124719,19.922749467655628,5.984058823591563,11.462165179952482,3.442811485127302
Kisumu,2023,1308336.7494506836,161175.72265625,772059.8896484375,39031.551208496094,95.259469553547,25.9315729970005,20.8760647738924,5.055508223108101,12.319131349319738,2.983295487563414
Kitui,2023,1198272.8204345703,134877.3671875,686027.7177734375,56802.19641113281,93.6209576305581,27.940498413204857,19.660629402155383,8.279869011049476,11.255981516678718,4.740339215115695
Kwale,2023,1017884.474472046,154802.3798828125,545719.8408203125,29702.3787689209,96.6796992456146,33.80942836426662,28.36663949218292,5.442788872083709,15.208246492128202,2.9180500846451034
Laikipia,2023,591064.6624298096,75859.62451171875,352043.9936523437,21767.69660949707,100.78202675141236,27.731568463464924,21.54833653734564,6.183231926119285,12.834403633583369,3.682794454334688
Lamu,2023,174584.3643875122,22995.97900390625,103361.6904296875,5221.149055480957,112.8639337630692,27.299406522943915,22.248067836651163,5.051338686292752,13.17184335755506,2.9906166418728954
Machakos,2023,1681500.0966796875,177655.859375,1091950.287109375,63965.6767578125,101.29738760975782,22.127521645004204,16.269592258205538,5.857929386798667,10.565319605143149,3.804084036873978
Makueni,2023,1045043.7503662108,103238.7470703125,639186.12109375,53059.32751464844,98.8766213024076,24.452670267231376,16.151593982305883,8.301076284925495,9.87889234629028,5.077235043609901
Mandera,2023,973605.6399536132,182962.162109375,443057.6477050781,10676.986389160156,101.00578912678012,43.70518136895614,41.29534002111707,2.4098413478390754,18.792224962675043,1.0966438515772006
Marsabit,2023,571970.585357666,85909.294921875,299671.89697265625,13056.741119384766,113.77470432762856,33.024797133476284,28.66778493070168,4.357012202774602,15.01987988912996,2.282764438178249
